                                                                                                      SCHEDULE 1


                                                                            iTraxx® Europe Series 20                              Fixed Rate
                                                                            Roll Date: 20th September 2013                        Where Scheduled Termination Date is 20th December 2016           1.00%
                                                                            Version 1, Annex Date 18th September 2013             Where Scheduled Termination Date is 20th December 2018           1.00%
                                                                            www.markit.com                                        Where Scheduled Termination Date is 20th December 2020           1.00%
                                                                                                                                  Where Scheduled Termination Date is 20th December 2023           1.00%

                                                                                          Reference Obligation
                                Reference Entity                                   ISIN            Maturity             Coupon           Sector                   Weighting                    CLIP
Adecco S.A.                                                                   CH0147028200       08-Feb-2016             2.125%    Autos & Industrials             0.80%                    006DC9AF0
Aktiebolaget Volvo                                                            XS0302948319      31-May-2017             5.000%     Autos & Industrials             0.80%                   9BAGDBAC6
Akzo Nobel N.V.                                                               XS0422084698       06-Apr-2016             8.000%    Autos & Industrials             0.80%                    0B11AIAD4
ALSTOM                                                                        FR0010850701       01-Feb-2017             4.125%    Autos & Industrials             0.80%                    0C3368AD3
Anglo American plc                                                            XS0358158052       17-Apr-2015            5.875%     Autos & Industrials             0.80%                   037CDUAD2
ASTRAZENECA PLC                                                               XS0321640301       15-Jan-2015             5.125%    Autos & Industrials             0.80%                    04A988AC0
ATLANTIA S.P.A.                                                               XS0193945655       09-Jun-2024             5.875%    Autos & Industrials             0.80%                    TT594FAB0
BAE SYSTEMS PLC                                                               GB0001272664      24-Nov-2014             10.750%    Autos & Industrials             0.80%                   05A75UAC5
BASF SE                                                                       DE000A0JRFB0       29-Jun-2016             4.500%    Autos & Industrials             0.80%                   DD6837AC0
Bayer Aktiengesellschaft                                                      XS0255605239      23-May-2018             5.625%     Autos & Industrials             0.80%                   0H99A3AD9
Bayerische Motoren Werke Aktiengesellschaft                                   XS0173501379      06-Aug-2018             5.000%     Autos & Industrials             0.80%                   0H99B7AC1
BOUYGUES                                                                      FR0010326975      24-May-2016              4.750%    Autos & Industrials             0.80%                   FG25BNAB9
COMPAGNIE DE SAINT-GOBAIN                                                     XS0546725358       08-Oct-2018             4.000%    Autos & Industrials             0.80%                   FG872CAF4
COMPAGNIE FINANCIERE DU GROUPE MICHELIN, "Senard et Cie"                      XS0794392588       20-Jun-2019             2.750%    Autos & Industrials             0.80%                   HK7D9FAA8
Daimler AG                                                                    DE000A1MA9V5      05-May-2017              2.000%    Autos & Industrials             0.80%                   DE7C9QAE6
Deutsche Post AG                                                              XS0862952297      11-Dec-2024              2.875%    Autos & Industrials             0.80%                   DEAB47AC5
European Aeronautic Defence and Space Company EADS N.V.                       XS0176914579      25-Sep-2018             5.500%     Autos & Industrials             0.80%                    FG8825AB6
Glencore International AG                                                     XS0288783979       27-Feb-2019            6.500%     Autos & Industrials             0.80%                   HK5754AD6
Holcim Ltd                                                                    XS0207037507      09-Dec-2014              4.375%    Autos & Industrials             0.80%                    477BB5AD8
Koninklijke DSM N.V.                                                          XS0235117891      10-Nov-2015             4.000%     Autos & Industrials             0.80%                   NS517VAB7
LANXESS Aktiengesellschaft                                                    XS0629645531      23-May-2018             4.125%     Autos & Industrials             0.80%                    DI535DAC6
Linde Aktiengesellschaft                                                      XS0297700006       24-Apr-2023            5.875%     Autos & Industrials             0.80%                    DI537CAB8
RENTOKIL INITIAL PLC                                                          XS0249085852       31-Mar-2016             5.750%    Autos & Industrials             0.80%                   GNC59OAA5
ROLLS-ROYCE PLC                                                               XS0112487482       14-Jun-2016             7.375%    Autos & Industrials             0.80%                   7ECCF9AD0
